policy,target_id,target_name,target_region_id,target_region_name
ambulance_existing,EMS001,119구조구급센터119안전센터,REG006,원성2동
ambulance_existing,EMS002,독립119안전센터,REG017,목천읍
ambulance_existing,EMS003,병천119안전센터,REG012,병천면
ambulance_existing,EMS004,북면지역대,REG013,북면
ambulance_existing,EMS005,성남지역대,REG014,성남면
ambulance_existing,EMS006,청당119안전센터,REG009,청룡동
ambulance_existing,EMS007,풍세119안전센터,REG016,풍세면
ambulance_existing,EMS008,119구조구급센터119안전센터,REG031,직산읍
ambulance_existing,EMS009,두정119안전센터,REG024,성정2동
ambulance_existing,EMS010,불당119안전센터,REG022,불당2동
ambulance_existing,EMS011,서부119안전센터,REG023,성정1동
ambulance_existing,EMS012,성거119안전센터,REG029,성거읍
ambulance_existing,EMS013,성환119안전센터,REG030,성환읍
ambulance_existing,EMS014,쌍용119안전센터,REG026,쌍용2동
ambulance_existing,EMS015,입장119안전센터,REG028,입장면
ambulance_existing,EMS016,직산119안전센터,REG031,직산읍
ambulance_new_base,REG001,문성동,REG001,문성동
ambulance_new_base,REG002,봉명동,REG002,봉명동
ambulance_new_base,REG003,신방동,REG003,신방동
ambulance_new_base,REG004,신안동,REG004,신안동
ambulance_new_base,REG005,원성1동,REG005,원성1동
ambulance_new_base,REG007,일봉동,REG007,일봉동
ambulance_new_base,REG008,중앙동,REG008,중앙동
ambulance_new_base,REG010,광덕면,REG010,광덕면
ambulance_new_base,REG011,동면,REG011,동면
ambulance_new_base,REG015,수신면,REG015,수신면
ambulance_new_base,REG018,백석동,REG018,백석동
ambulance_new_base,REG019,부성1동,REG019,부성1동
ambulance_new_base,REG020,부성2동,REG020,부성2동
ambulance_new_base,REG021,불당1동,REG021,불당1동
ambulance_new_base,REG025,쌍용1동,REG025,쌍용1동
ambulance_new_base,REG027,쌍용3동,REG027,쌍용3동
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,새로나병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz,예일병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,천안우리병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,천안해울병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,돋움병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,마디손병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,앙즈로여성병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,천안리턴병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz,아이본병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNjEjJDEjJDQjJDgz,서울프라임병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjNjEjJDEjJDQjJDgz,천안다나힐병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,연세나무병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,천안재활병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjODEjJDEjJDYjJDgz,삼성스카이병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,우리척병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjE0ODEjODEjJDEjJDIjJDgz,서울우리병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz,혜성산부인과병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNjEjJDEjJDAjJDgz,두정이진병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz,천안21세기병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz,서울대정병원,,
hospital_upgrade,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,SG삼성조은병원,,
