region_id,region_name,before_ems_duration_min,after_ems_duration_min,before_hospital_duration_min,after_hospital_duration_min,before_nearest_alternative_time_min,after_nearest_alternative_time_min,before_alternative_gap_min,after_alternative_gap_min,before_alternative_score_01,after_alternative_score_01,before_vulnerability_type_count,after_vulnerability_type_count,before_vulnerability_types,after_vulnerability_types,ems_improvement_min,hospital_improvement_min,total_improvement_min
REG001,문성동,6.33,6.33,3.58,3.58,6.82,6.82,3.24,3.24,0.0529,0.0529,3,3,출동+대체+수요,출동+대체+수요,0.0,0.0,0.0
REG002,봉명동,2.57,2.57,5.57,5.57,5.58,5.58,0.0099999999999997,0.009999999999999787,0.1792,0.1792,0,0,상대적 비취약,상대적 비취약,0.0,0.0,0.0
REG003,신방동,5.48,5.48,8.38,8.38,12.23,12.23,3.85,3.8499999999999996,0.3256,0.3256,2,2,대체+교통,대체+교통,0.0,0.0,0.0
REG004,신안동,7.95,7.95,4.72,4.72,7.75,7.75,3.03,3.0300000000000002,0.3408,0.3408,2,2,출동+교통,출동+교통,0.0,0.0,0.0
REG005,원성1동,5.55,5.55,7.75,7.75,10.23,10.23,2.4800000000000004,2.4800000000000004,0.2105999999999999,0.2105999999999999,0,0,상대적 비취약,상대적 비취약,0.0,0.0,0.0
REG006,원성2동,3.48,3.48,3.88,3.88,6.78,6.78,2.9000000000000004,2.9000000000000004,0.0,0.0,1,1,교통,교통,0.0,0.0,0.0
REG007,일봉동,5.72,5.72,6.63,6.63,10.25,10.25,3.62,3.62,0.392,0.392,1,1,대체,대체,0.0,0.0,0.0
REG008,중앙동,6.33,6.33,6.15,6.15,6.53,6.53,0.3799999999999999,0.3799999999999999,0.2257999999999999,0.2257999999999999,3,3,출동+교통+수요,출동+교통+수요,0.0,0.0,0.0
REG009,청룡동,4.52,4.52,7.1,7.1,8.55,8.55,1.450000000000001,1.450000000000001,0.1421,0.1421,2,2,교통+수요,교통+수요,0.0,0.0,0.0
REG010,광덕면,6.23,6.23,19.72,19.72,21.17,21.17,1.4500000000000028,1.4500000000000028,0.6221,0.6221,3,3,출동+이송+수요,출동+이송+수요,0.0,0.0,0.0
REG011,동면,10.85,0.0,18.65,18.65,23.73,23.73,5.080000000000002,5.080000000000002,0.8819,0.8819,4,3,출동+이송+대체+수요,이송+대체+수요,10.85,0.0,10.85
REG012,병천면,7.47,7.47,25.57,25.57,26.48,26.48,0.91,0.9100000000000001,0.9736,0.9736,2,2,출동+이송,출동+이송,0.0,0.0,0.0
REG013,북면,3.12,3.12,29.62,29.62,30.32,30.32,0.6999999999999993,0.6999999999999993,1.0,1.0,2,2,이송+수요,이송+수요,0.0,0.0,0.0
REG014,성남면,5.47,5.47,17.57,17.57,24.7,24.7,7.129999999999999,7.129999999999999,0.8743000000000001,0.8743000000000001,3,3,이송+대체+수요,이송+대체+수요,0.0,0.0,0.0
REG015,수신면,11.18,0.0,24.72,24.72,25.32,25.32,0.6000000000000014,0.6000000000000014,0.8967,0.8967,3,2,출동+이송+수요,이송+수요,11.18,0.0,11.18
REG016,풍세면,4.12,4.12,15.15,15.15,17.0,17.0,1.85,1.8499999999999996,0.4689,0.4689,2,2,이송+수요,이송+수요,0.0,0.0,0.0
REG017,목천읍,3.92,3.92,18.63,18.63,19.42,19.42,0.7900000000000027,0.7900000000000027,0.598,0.598,1,1,이송,이송,0.0,0.0,0.0
REG018,백석동,4.83,4.83,9.92,6.06510611781767,12.37,9.92,2.4499999999999997,3.8548938821823295,0.1778,0.14258496362166534,0,1,상대적 비취약,대체,0.0,3.8548938821823295,3.8548938821823295
REG019,부성1동,9.43,9.43,10.92,10.92,14.45,14.45,3.53,3.5299999999999994,0.2477,0.2477,2,2,출동+대체,출동+대체,0.0,0.0,0.0
REG020,부성2동,6.12,6.12,10.0,10.0,12.43,11.941295908854585,2.43,1.9412959088545847,0.2423,0.23277361212513806,2,2,교통+수요,교통+수요,0.0,0.0,0.0
REG021,불당1동,6.08,6.08,8.12,2.3154278180256713,11.65,8.12,3.530000000000001,5.8045721819743274,0.2786,0.19418300429184548,2,2,대체+교통,대체+교통,0.0,5.8045721819743274,5.8045721819743274
REG022,불당2동,3.3,3.3,11.3,1.3892688322146682,13.77,11.3,2.469999999999999,9.910731167785332,0.2791,0.22903631082062456,0,1,상대적 비취약,대체,0.0,9.910731167785332,9.910731167785332
REG023,성정1동,2.15,2.15,5.07,5.07,5.15,5.15,0.08,0.08000000000000007,0.1795,0.1795,1,1,교통,교통,0.0,0.0,0.0
REG024,성정2동,4.57,4.57,6.5,6.5,8.48,8.48,1.9800000000000004,1.9800000000000004,0.0766,0.0766,0,0,상대적 비취약,상대적 비취약,0.0,0.0,0.0
REG025,쌍용1동,5.85,5.85,3.35,3.35,6.08,6.08,2.73,2.73,0.2128,0.2128,1,1,교통,교통,0.0,0.0,0.0
REG026,쌍용2동,1.38,1.38,4.65,4.65,8.4,6.801326217018279,3.75,2.151326217018279,0.214,0.17327188219546566,1,0,대체,상대적 비취약,0.0,0.0,0.0
REG027,쌍용3동,5.9,5.9,7.85,4.2958563617654,9.87,7.85,2.02,3.5541436382345992,0.3762,0.29920668693009117,0,1,상대적 비취약,대체,0.0,3.5541436382345992,3.5541436382345992
REG028,입장면,0.65,0.65,14.27,14.27,17.78,17.78,3.5100000000000016,3.5100000000000016,0.4836999999999999,0.4836999999999999,1,1,대체,대체,0.0,0.0,0.0
REG029,성거읍,4.07,4.07,8.9,8.9,14.78,14.78,5.879999999999999,5.879999999999999,0.4775999999999999,0.4775999999999999,2,2,대체+교통,대체+교통,0.0,0.0,0.0
REG030,성환읍,8.85,8.85,17.6,17.6,20.57,20.57,2.969999999999999,2.969999999999999,0.5845,0.5845,2,2,출동+이송,출동+이송,0.0,0.0,0.0
REG031,직산읍,10.12,10.12,17.58,17.58,17.65,17.65,0.0700000000000002,0.07000000000000028,0.3953,0.3953,2,2,출동+이송,출동+이송,0.0,0.0,0.0
