episode,seed,reward,dispatch_response_improvement_min,mean_ems_time,mean_hospital_time,mean_total_time,weighted_ems_time,weighted_hospital_time,weighted_total_time,max_ems_time,max_hospital_time,selected_action_indices,selected_policies
1,42,0.7842624599697734,0.0042478320188186,5.599677419354838,10.592492761734231,16.19217018108907,6.034316313600623,12.48456433267027,18.51888064627089,11.18,29.62,"[35, 4, 41]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDgjJDgz"", ""target_name"": ""천안해울병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS005"", ""target_name"": ""성남지역대"", ""target_region_id"": ""REG014"", ""target_region_name"": ""성남면""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNjEjJDEjJDQjJDgz"", ""target_name"": ""서울프라임병원"", ""target_region_id"": null, ""target_region_name"": null}]"
2,42,0.7450844984581932,0.0042478320188186,5.599677419354838,10.552522536469814,16.152199955824653,6.034316313600623,12.52374229418185,18.55805860778247,11.18,29.62,"[4, 37, 44]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS005"", ""target_name"": ""성남지역대"", ""target_region_id"": ""REG014"", ""target_region_name"": ""성남면""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz"", ""target_name"": ""마디손병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz"", ""target_name"": ""천안재활병원"", ""target_region_id"": null, ""target_region_name"": null}]"
3,42,0.8914048360595217,0.0,5.295483870967741,10.716180311234632,16.011664182202377,5.8214151748001814,12.586075263362146,18.407490438162323,11.18,29.62,"[27, 51, 39]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG019"", ""target_name"": ""부성1동"", ""target_region_id"": ""REG019"", ""target_region_name"": ""부성1동""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz"", ""target_name"": ""서울대정병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjEwMDIjNTEjJDEjJDIjJDgz"", ""target_name"": ""천안리턴병원"", ""target_region_id"": null, ""target_region_name"": null}]"
4,42,0.7703170839388371,0.0306886569409906,5.295483870967741,10.914895644369402,16.210379515337145,5.8214151748001814,12.73785167242382,18.559266847224,11.18,29.62,"[27, 40, 6]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG019"", ""target_name"": ""부성1동"", ""target_region_id"": ""REG019"", ""target_region_name"": ""부성1동""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz"", ""target_name"": ""아이본병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS007"", ""target_name"": ""풍세119안전센터"", ""target_region_id"": ""REG016"", ""target_region_name"": ""풍세면""}]"
5,42,0.34366134533290266,0.0461916173658476,5.1867842220309095,11.594193548387098,16.780977770418005,5.73684658563357,13.264578960621222,19.00142554625479,11.18,29.62,"[26, 19, 9]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG018"", ""target_name"": ""백석동"", ""target_region_id"": ""REG018"", ""target_region_name"": ""백석동""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG004"", ""target_name"": ""신안동"", ""target_region_id"": ""REG004"", ""target_region_name"": ""신안동""}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS010"", ""target_name"": ""불당119안전센터"", ""target_region_id"": ""REG022"", ""target_region_name"": ""불당2동""}]"
6,42,0.7494312923580857,0.0,5.30953667865867,10.671915281509014,15.981451960167684,5.817718036654236,12.731745945209527,18.54946398186376,11.18,29.62,"[44, 33, 21]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz"", ""target_name"": ""천안재활병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz"", ""target_name"": ""예일병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG007"", ""target_name"": ""일봉동"", ""target_region_id"": ""REG007"", ""target_region_name"": ""일봉동""}]"
7,42,0.3325916359343335,0.0399215062962792,5.398709677419355,11.594193548387098,16.99290322580645,5.74164618396257,13.264578960621222,19.00622514458379,11.18,29.62,"[23, 4, 12]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG010"", ""target_name"": ""광덕면"", ""target_region_id"": ""REG010"", ""target_region_name"": ""광덕면""}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS005"", ""target_name"": ""성남지역대"", ""target_region_id"": ""REG014"", ""target_region_name"": ""성남면""}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS013"", ""target_name"": ""성환119안전센터"", ""target_region_id"": ""REG030"", ""target_region_name"": ""성환읍""}]"
8,42,0.533559655080713,0.0045892200942615,5.599677419354838,10.808655693058702,16.40833311241354,6.034316313600623,12.735608525634776,18.769924839235394,11.18,29.62,"[44, 45, 3]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz"", ""target_name"": ""천안재활병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjODEjJDEjJDYjJDgz"", ""target_name"": ""삼성스카이병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS004"", ""target_name"": ""북면지역대"", ""target_region_id"": ""REG013"", ""target_region_name"": ""북면""}]"
9,42,0.6534483957324847,0.0001882362364812,5.599677419354838,10.73616728707803,16.33584470643287,6.034316313600623,12.611318801125222,18.64563511472584,11.18,29.62,"[37, 8, 40]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz"", ""target_name"": ""마디손병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS009"", ""target_name"": ""두정119안전센터"", ""target_region_id"": ""REG024"", ""target_region_name"": ""성정2동""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz"", ""target_name"": ""아이본병원"", ""target_region_id"": null, ""target_region_name"": null}]"
10,42,1.121296077591218,0.0,5.398709677419355,10.49267365082137,15.891383328240725,5.74164618396257,12.43595301266806,18.177599196630627,11.18,29.62,"[50, 23, 48]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz"", ""target_name"": ""천안21세기병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG010"", ""target_name"": ""광덕면"", ""target_region_id"": ""REG010"", ""target_region_name"": ""광덕면""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz"", ""target_name"": ""혜성산부인과병원"", ""target_region_id"": null, ""target_region_name"": null}]"
11,42,0.7454016763605044,0.0222107429571171,5.3432258064516125,10.922183961670516,16.26540976812213,5.838491576775618,12.737212764042843,18.575704340818458,11.18,29.62,"[19, 39, 10]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG004"", ""target_name"": ""신안동"", ""target_region_id"": ""REG004"", ""target_region_name"": ""신안동""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjEwMDIjNTEjJDEjJDIjJDgz"", ""target_name"": ""천안리턴병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS011"", ""target_name"": ""서부119안전센터"", ""target_region_id"": ""REG023"", ""target_region_name"": ""성정1동""}]"
12,42,0.32288866146462475,0.0350352871403144,5.36265655090189,11.594193548387098,16.956850099288985,5.746462939276316,13.264578960621222,19.011041899897535,11.18,29.62,"[2, 28, 8]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS003"", ""target_name"": ""병천119안전센터"", ""target_region_id"": ""REG012"", ""target_region_name"": ""병천면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG020"", ""target_name"": ""부성2동"", ""target_region_id"": ""REG020"", ""target_region_name"": ""부성2동""}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS009"", ""target_name"": ""두정119안전센터"", ""target_region_id"": ""REG024"", ""target_region_name"": ""성정2동""}]"
13,42,0.8427426665508335,0.0,5.3432258064516125,10.772073526434678,16.11529933288629,5.838491576775618,12.617661030895395,18.45615260767101,11.18,29.62,"[39, 47, 19]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjEwMDIjNTEjJDEjJDIjJDgz"", ""target_name"": ""천안리턴병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjE0ODEjODEjJDEjJDIjJDgz"", ""target_name"": ""서울우리병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG004"", ""target_name"": ""신안동"", ""target_region_id"": ""REG004"", ""target_region_name"": ""신안동""}]"
